userID,username,fullname,date_of_birth,password,gender,phone,email,address,bought_vip
0,jasonrusso,Rhonda Potter,1964-12-22,1szFNCzZTz,1,493-247-4226x0397,cwalker@example.org,"802 Johnson Meadow, South Brettfort, MT 58921",True
1,lauren09,Randall Hill,1961-10-12,E69foamqAM,0,+1-700-450-7816x498,deanjennifer@example.com,"0964 Andrew Valley, Port Brittanymouth, PW 57832",True
2,markmontgomery,Gregory Clark,1948-02-02,icS3XPDAwg,0,889-562-5011x3880,tgreen@example.com,"53557 Kimberly Rapid, East Briana, ND 98794",False
3,smithlindsay,Sarah Holt,1968-09-27,4HQ7hFTO5I,1,+1-312-449-1266,gentryamanda@example.com,"0894 Jessica Drive Apt. 923, Port Evan, MA 61873",True
4,catherinewhite,Mr. James Rogers,2001-07-28,E5f9iOBf9v,1,+1-205-627-0695x687,kimberly58@example.net,"PSC 8005, Box 7200, APO AA 30646",False
5,jenniferallen,Katrina Roberts,1992-09-22,bb91sxVLdj,1,(761)726-9076x379,wknight@example.com,"702 Nicholas Burg Apt. 709, New Edwinfort, MO 66930",True
6,meyertimothy,Nicole Graves,1998-02-13,Zz2kDig1VP,0,789.576.2746x2330,arobbins@example.com,"40375 Carl Tunnel, Port Tiffanyport, ME 49513",True
7,rebeccawalker,Jessica Stone,1934-04-26,RQxoQKQa0a,1,956-407-2273x66992,davidsimpson@example.org,"734 Steven Spurs Apt. 918, Kimberlymouth, VT 63376",True
8,richardsonchristopher,David Dudley,1947-06-09,BP00heIA32,1,001-370-632-7413x7906,jeffreylopez@example.net,"51575 Bush Motorway Suite 612, Wardton, KS 51860",False
9,williamwells,Daniel Torres,1966-06-01,y1VxlZ6jHn,0,001-721-958-0043x9836,josewright@example.com,"34259 Tracy Lake, Lake Erinberg, DC 61061",False
10,brendanelson,Frederick Ramirez,2000-12-31,pI38gMD7t0,1,+1-973-990-1570x40299,watsoncolleen@example.com,"973 Torres Ville, South Jeffrey, CA 17505",False
11,kathleen11,Paige Johnson,1945-05-04,d6OYHd5YV5,0,001-827-683-7118x1254,mullenkelsey@example.org,"46761 Angela Crossroad, Rubioport, MS 40962",False
12,robertjones,Sheryl Lewis DDS,1994-12-12,sHKWrbQSs6,1,(819)974-3012x989,nicole35@example.com,"50995 Raymond Neck, Pamelaberg, MT 69105",False
13,kellywilliam,Scott Obrien,1940-10-21,edxCCA4oFE,1,8225883228,barbaraclark@example.com,"PSC 1208, Box 5512, APO AE 53229",False
14,sarawhite,Darin Sheppard,1954-11-17,Nvx6B7CFOl,0,001-616-981-3974x0493,matthew18@example.com,"9210 Julie Inlet Apt. 333, West Christopher, PA 66844",False
15,joegraham,David Jenkins,1985-01-04,SxaavjIqf6,1,(301)418-1966x76556,elizabethbrown@example.org,"23930 Moore Rest, Garciaberg, DC 29957",True
16,tiffanysanchez,David Mercado,1946-09-10,ch6Jre8FlP,0,001-979-972-9512x0778,zdavis@example.net,"142 Johnson Stream Suite 583, New Samantha, IL 69423",True
17,ralph85,Natasha Montes,1935-08-22,7DOmiGshtk,0,001-738-542-2458x25446,hellis@example.com,"99988 Callahan Flats, Armstrongville, NC 08362",True
18,stephaniegreen,Joanne Gentry,1954-10-07,1g0XxufvoN,1,686-468-2856,adamfernandez@example.org,"9157 Aaron Point Suite 378, Mariaton, ID 59527",False
19,trevor32,Charles Anderson,1975-04-16,CAWysssIoj,0,446-589-8099,chelseabrooks@example.org,"953 Thompson Estate Apt. 340, West Alyssatown, NM 69222",False
20,armstrongdavid,Eric Santos,1996-11-14,jfs6zGl8Ns,1,001-812-262-0839x636,davidbecker@example.org,"68827 Emily Mount, Joneschester, OH 78179",False
21,omcconnell,Michael Cain,1967-05-28,LRkk4HSUXt,0,+1-219-616-5225,prattsummer@example.com,"6389 Johnson Stream Suite 300, Smithland, HI 88183",True
22,kimberly54,Tracy Wang,1970-04-01,SiK1gtIgAE,0,001-945-924-2300,andrewjohnson@example.net,"8181 Brandt Squares Suite 863, Reynoldsstad, MS 19829",True
23,kelly43,Kathleen Stephens,1942-09-11,nN2KKWP5eT,1,4186226546,gayrobert@example.net,"2590 Sonia Drives, Hopkinschester, PW 81955",False
24,frank10,Arthur Crawford,1956-12-29,ZxlVkAFRkB,0,001-260-624-7823x6086,xbrown@example.org,"308 Logan Knoll Apt. 013, New Amyland, OR 36555",True
25,gmason,Frank Patrick,1943-10-25,SEAT8zcYLb,0,985.309.9775x62827,johnsonmichael@example.net,"09837 Erin Ports Apt. 919, Fullerview, FL 76987",False
26,emorgan,John Walker,1940-10-05,cx5acqeOib,1,001-892-401-0717x809,lshelton@example.net,"10176 Henry Ways Suite 441, West Joeville, PA 30123",False
27,clarkjeanette,Paul Edwards,1985-11-25,gQTFUKa9h6,1,3324308731,steven28@example.org,"4237 Hobbs Springs Suite 095, West Kevinfort, CA 64450",False
28,mwilson,Michael Armstrong,1934-10-07,TlLT9HGiDS,0,567.468.3118x33744,ucherry@example.org,"135 Mendez Plains, Watsonberg, MO 37142",False
29,cesar28,Angela Robertson,1938-03-18,SDltIztv8U,1,(447)519-9881,lanejose@example.com,"338 Garcia Passage Suite 556, West Codymouth, HI 88392",True
30,alan63,Candace Wilson,1995-03-29,gjGzXX6pYf,1,+1-818-749-1985x66622,jillmoran@example.net,"15586 Karen Trace, Campbellfurt, IN 19928",False
31,michealsmith,Stacey Fischer,1979-01-09,szgHjdTTSI,0,835.742.6166x93616,carlsoncassandra@example.org,"81697 Haley Ridges Apt. 556, New Kylemouth, WV 99293",True
32,jameshenderson,Benjamin Rivera,1956-08-09,6yrNbRrrmD,0,+1-308-824-1913,mcarter@example.com,"01119 Jenkins Lane Apt. 421, Billyview, LA 78251",True
33,jtorres,Sydney Ball,1989-11-05,4R7kmWinMu,0,+1-432-720-5131x071,kristyrodriguez@example.org,"081 Price Valleys, Rosariobury, LA 75083",False
34,davidlove,Nichole Lawson,1956-12-05,BBBb2OLqUl,0,450-537-3557x3669,katherine72@example.net,"7704 Dunn Hills Apt. 801, Lake Brianton, VA 08635",True
35,ooconnell,Paul Mejia,1999-11-06,aegtRVcwbL,1,959-382-0131x1858,petersenrebecca@example.com,"64229 Andrew Ford Suite 151, North Josephmouth, IN 82063",False
36,njohnson,Samuel Mills,1951-04-22,HQvATVW2zK,1,+1-674-728-9973x9198,martinbenjamin@example.net,"6155 Zimmerman Station, Juliemouth, VA 18688",False
37,jacqueline79,Hannah Garcia,2001-11-25,lCboKevwwK,0,755.530.2631x13755,cindy58@example.com,"569 Rodgers Radial, Mollyport, MP 20154",True
38,carrollkaren,James Bennett,1990-03-23,7guYue2Jj0,0,303.939.7288x65471,laura55@example.com,"4524 Edwin Burgs Suite 232, South Taylor, NC 63654",False
39,taylorjacqueline,Nicole Taylor,1935-12-26,KK01x7tSPa,0,(408)558-8353,schroederaaron@example.org,"95495 Veronica Shore Apt. 805, Haasstad, MA 52380",False
40,kelly84,Dustin Ross,1939-09-04,KsQRxDmwC1,0,391-640-9952x357,cortezlisa@example.org,"Unit 4693 Box 5137, DPO AP 08001",False
41,vasquezpaul,Dana Barnes,1949-05-21,PF859ucIMR,0,8698067242,cynthia47@example.net,"052 Richard Meadows, East April, CT 13406",True
42,george89,James Lowery,1945-03-04,bV7z2XCTbY,1,001-726-611-6507x576,bwilliams@example.com,"0925 April Rapid, Mitchellville, DC 10165",False
43,gloverkimberly,Emily Sullivan,2005-11-05,vkaXV5A1fY,1,+1-808-821-8034x72528,romeroeddie@example.net,"51389 Thomas Skyway Suite 097, New Jonathanstad, PW 28093",False
44,sanchezkevin,Paul Meyer,1974-08-10,GWKyLGN6Cd,0,9917405241,andrew05@example.net,"45454 Derek Pass, Matthewview, IA 93918",False
45,kwilson,Martin Smith,1970-04-22,iuKbtNVvoH,0,4094926670,michelleshannon@example.net,"2991 Jones Summit, Smithstad, GA 78979",False
46,xwilliams,Rose Johnson,1936-06-02,yy2oEYsgZt,1,646.560.5292x46776,robertvelez@example.org,"86755 Elizabeth Freeway, Martinton, WA 83905",True
47,michaelle,Brenda Stephens,1967-08-22,sN18tOe54x,1,+1-211-543-5383x354,jameswheeler@example.org,"029 Natalie Heights Suite 901, Vegamouth, NE 82516",True
48,lmorris,Richard Miller,1996-06-19,efR3H6Izmo,1,+1-832-306-8280,mbrown@example.com,"PSC 8247, Box 6756, APO AA 17784",True
49,gomezcesar,Barbara Adams,1959-01-30,7z9YO2lAxM,1,001-270-981-5601x41095,michaeljohnson@example.org,"6466 Green Tunnel Apt. 120, Port Kellyland, ME 06676",False
50,matthewblake,Megan Williams,1998-01-06,Khja6dVHdb,0,634.778.7031x25678,mjames@example.net,"5908 Jeffrey Street Suite 639, Connerton, OR 17192",False
51,ponceedward,Steven Lawrence,1944-01-20,Iomq4Pbhnh,1,543.740.2997x4621,aestrada@example.net,"0651 Erica Locks Apt. 175, New Jeffrey, MI 36785",True
52,kimberly38,Christine Stanley,1988-12-25,0JCf0bVkfB,1,+1-950-736-0720x68289,mark94@example.org,"079 Robert Mountains Apt. 439, North Maria, ID 60054",False
53,hmartin,Oscar Morrison,1990-04-17,k1Kr2g109Q,1,672.334.8898,thomassullivan@example.com,"894 Knight Hill, Tanyabury, VT 44453",False
54,gonzalesdana,Zachary Ford,1955-10-18,rkurbZ37Om,0,001-497-816-3276,joshuahudson@example.com,"30613 James Streets Suite 554, Houstonshire, ME 95533",False
55,vasquezkenneth,David Roach,1986-08-12,pJMj482QMe,1,283.404.3091x3025,tyler01@example.net,"2138 Scott Cliffs, West Brian, WV 37383",False
56,collinseric,Jessica Wang,1945-02-08,v6OACcsN3z,1,(916)985-8705x935,feliciafrazier@example.com,"3561 Yu Mountains, New Maryland, IL 21560",True
57,johnsonthomas,John Green,1998-06-07,5w2MbhpPDK,0,(585)290-8047x57116,michaelamartin@example.org,"487 Jenkins Via Suite 575, Camposberg, MH 35646",True
58,brandon14,Marissa Joyce,1948-02-25,q4n36lOnfO,1,(716)924-3956x04503,matthewknight@example.com,"7081 Johnson Lock, East Rhonda, TN 04986",False
